emp_no,gender,first_name,last_name,salary,to_date
10001,M,Georgi,Facello,60117,9999-01-01
10198,M,Pranav,Furedi,44076,9999-01-01
10215,M,Xiaobin,Duclos,43944,9999-01-01
10224,M,Leon,Trogemann,40000,9999-01-01
10233,F,Lein,Vendrig,40000,9999-01-01
10258,F,Basil,Ishibashi,66280,9999-01-01
10272,M,Yishai,Cannane,58070,9999-01-01
10282,M,Hercules,Benzmuller,40000,9999-01-01
10283,M,Kauko,Birjandi,40000,9999-01-01
10326,F,Masali,Czap,40000,9999-01-01
10340,M,Djelloul,Laventhal,68132,9999-01-01
10347,M,Pradeep,Kaminger,42199,9999-01-01
10355,M,Satyanarayana,Cochrane,70434,9999-01-01
10356,M,Vasilis,Standera,45376,9999-01-01
10364,M,Nakhoon,Dengi,51401,9999-01-01
10372,F,Anneli,Frijda,54505,9999-01-01
10387,F,Parto,Wrigley,61374,9999-01-01
10396,M,Sibyl,Rahier,40393,9999-01-01
10402,M,Volkmar,Ebeling,40000,9999-01-01
10404,F,Prodip,Rosti,51647,9999-01-01
10426,F,Arunas,Luce,65757,9999-01-01
10429,F,Martien,Improta,40000,9999-01-01
10432,F,Hisao,Tiemann,40000,9999-01-01
10451,F,Bodh,Ranta,46275,9999-01-01
10453,F,Tsvetan,Matzel,40000,9999-01-01
10463,M,Ung,Zaiane,66480,9999-01-01
10486,F,Amstein,Kossowski,71692,9999-01-01
10494,F,Yakkov,Servieres,50094,9999-01-01
10504,M,Xiong,Varker,43931,9999-01-01
10512,M,Udi,Gihr,40000,9999-01-01
10522,F,Marke,Cesareni,40000,9999-01-01
10548,M,Ramalingam,Gunderson,90631,9999-01-01
10564,M,Jianhao,Thisen,46660,9999-01-01
10623,F,Aleksander,Danlos,60268,9999-01-01
10628,M,Krisda,Krogh,41650,9999-01-01
10631,M,Inderjeet,Chaudhuri,40000,9999-01-01
10642,M,Hirochika,Narlikar,40000,9999-01-01
10653,M,Otmar,Feinberg,40000,9999-01-01
10671,M,Parviz,Rebaine,74037,9999-01-01
10676,F,Valeri,Danley,58226,9999-01-01
10693,F,Berhard,Daescu,40000,9999-01-01
10702,M,Bader,Szemeredi,46581,9999-01-01
10718,M,Adib,Rullman,75473,9999-01-01
10726,F,Zita,Minakawa,46315,9999-01-01
10734,M,Sachar,Erdi,47377,9999-01-01
10745,F,Poorav,Ranze,40000,9999-01-01
10749,M,King,Brendel,60829,9999-01-01
10767,F,Monique,Doering,40651,9999-01-01
10768,M,Ishfaq,Candan,65717,9999-01-01
10778,M,Selwyn,Merey,64996,9999-01-01
10791,M,Tadahiko,Sgarro,40000,9999-01-01
10795,M,Supot,Naudin,84206,9999-01-01
10808,M,Chenxi,Leijenhorst,40000,9999-01-01
10835,M,Tomoyuki,Kermarrec,40000,9999-01-01
10836,F,Jianhua,Leivant,65502,9999-01-01
10844,M,Dipayan,Koprowski,40000,9999-01-01
10847,M,Theirry,Danley,40000,9999-01-01
10848,F,Fen,Bratsberg,50475,9999-01-01
10878,M,Lakshmi,Deville,72102,9999-01-01
10879,F,Muzhong,Chleq,65651,9999-01-01
10883,M,Shimshon,Champarnaud,40000,9999-01-01
10909,M,Georgi,Atchley,80935,9999-01-01
10921,F,Mara,Bahi,72601,9999-01-01
10924,F,Hironoby,Atchley,84783,9999-01-01
10927,M,Gal,Scallan,51819,9999-01-01
10936,F,Mountaz,Schicker,40000,9999-01-01
10943,M,Berna,Skafidas,45890,9999-01-01
10965,M,Eckart,Braunschweig,61654,9999-01-01
10969,M,Premal,Noriega,40000,9999-01-01
10974,M,Muneo,Papsdorf,56005,9999-01-01
10986,M,Masako,Schiper,43900,9999-01-01
10988,M,Chinya,Deyuan,54174,9999-01-01
10989,F,Sumali,Candan,46406,9999-01-01
10990,M,Shin,Foote,40000,9999-01-01
11009,F,Alper,Axelband,75111,9999-01-01
11012,F,Taegyun,Speckmann,72092,9999-01-01
11019,M,Leon,Huttel,69387,9999-01-01
11021,F,Srinidhi,Henders,62670,9999-01-01
11027,M,Remzi,Cappello,40000,9999-01-01
11031,M,Ottavia,Walstra,71654,9999-01-01
11037,M,Lansing,Maliniak,40000,9999-01-01
11038,M,Jinya,Beidas,44993,9999-01-01
11042,F,Gou,Breugel,40000,9999-01-01
11048,M,Jaques,Demke,65697,9999-01-01
11050,M,Elvis,Katiyar,52251,9999-01-01
11051,F,Przemyslawa,Erol,40000,9999-01-01
11070,M,Adib,Raney,40000,9999-01-01
11081,M,Barry,Boyle,65686,9999-01-01
11085,M,Hailing,Thummel,66437,9999-01-01
11100,M,Berna,Cochrane,40000,9999-01-01
11106,F,Aris,Iwayama,71446,9999-01-01
10004,M,Chirstian,Koblick,40054,9999-01-01
11112,M,Boaz,Mukaidono,40000,9999-01-01
10009,F,Sumant,Peac,60929,9999-01-01
11113,F,Shahab,Peng,66401,9999-01-01
11121,F,Vugranam,Kakkad,40000,9999-01-01
10018,F,Kazuhide,Peha,55881,9999-01-01
11133,M,Nalini,Azulay,40000,9999-01-01
11134,F,Sachar,Rajcani,58731,9999-01-01
11137,M,Hugh,Luca,40000,9999-01-01
11139,F,Bogdan,Homond,63596,9999-01-01
10035,M,Alain,Chappelet,41538,9999-01-01
11146,F,Ishfaq,Masand,96019,9999-01-01
11148,F,Zhanqiu,Botman,56344,9999-01-01
10053,F,Sanjiv,Zschoche,67854,9999-01-01
11162,F,Kauko,Narlikar,69873,9999-01-01
10058,M,Berhard,McFarlin,52787,9999-01-01
10066,M,Kwee,Schusler,69736,9999-01-01
11180,F,Mitsuyuki,Bojadziev,40000,9999-01-01
10067,M,Claudi,Stavenow,44642,9999-01-01
10070,M,Reuven,Garigliano,55999,9999-01-01
11197,M,Tadahiro,Fordan,88741,9999-01-01
11204,M,Diederik,Covnot,40000,9999-01-01
11207,F,Saeed,Gips,49728,9999-01-01
10072,F,Hironoby,Sidou,40000,9999-01-01
11208,F,Saniya,Valtorta,83660,9999-01-01
11211,M,Yurij,Rissland,72668,9999-01-01
10076,F,Erez,Ritzmann,47319,9999-01-01
11217,M,Kellie,Mawatari,40000,9999-01-01
10088,F,Jungsoon,Syrzycki,65957,9999-01-01
11232,M,Hidefumi,Crelier,43863,9999-01-01
11240,M,Kiam,Condotta,61739,9999-01-01
11249,M,Randi,Cyre,43324,9999-01-01
11251,M,Bezalel,Chinal,69432,9999-01-01
10100,F,Hironobu,Haraldson,54398,9999-01-01
10103,M,Akemi,Birch,68158,9999-01-01
11268,F,Aimee,Petersohn,40000,9999-01-01
10126,M,Kayoko,Valtorta,40000,9999-01-01
11275,F,Hitomi,Eppinger,58382,9999-01-01
11290,M,Visit,Dredge,65034,9999-01-01
11295,M,Abdelkader,Lanzelotte,66622,9999-01-01
10129,M,Armond,Peir,40000,9999-01-01
10130,M,Nishit,Casperson,40000,9999-01-01
10134,M,Diederik,Siprelle,40000,9999-01-01
10138,M,Perry,Shimshoni,53574,9999-01-01
11319,F,Pranas,Marrakchi,40000,9999-01-01
11320,M,Atilio,McAlpine,45118,9999-01-01
11322,F,Nathalie,Pocchiola,43021,9999-01-01
11324,F,Kauko,Billingsley,54288,9999-01-01
11338,M,Kwangsub,Hanratty,82210,9999-01-01
11339,M,Flemming,Massonet,40000,9999-01-01
11347,M,Anneli,Jonsson,41524,9999-01-01
11365,M,Toshimi,Shinomoto,56463,9999-01-01
11376,M,Valery,Suomi,46964,9999-01-01
11380,M,Kenroku,Pelc,53345,9999-01-01
11385,M,Shiv,Ullian,40000,9999-01-01
11386,F,Alselm,Assaf,47726,9999-01-01
11393,M,Junsik,Junot,40000,9999-01-01
11398,M,Oscar,Peir,44625,9999-01-01
11404,M,Bedrich,Borovoy,42907,9999-01-01
11415,M,Sanjiv,Anido,40000,9999-01-01
11421,F,Josyula,Msuda,52416,9999-01-01
11441,M,Marlo,Aingworth,67352,9999-01-01
11449,M,Kotesh,Asser,61434,9999-01-01
11459,M,Duke,Suomi,40000,9999-01-01
11469,M,Guttorm,Giaccio,44625,9999-01-01
11506,F,Rance,Picel,89747,9999-01-01
11509,M,Aleksander,Feldhoffer,40000,9999-01-01
11513,M,Otmar,Mahnke,82525,9999-01-01
11515,F,Ulf,Basawa,70182,9999-01-01
11518,M,Jinxi,Oxman,40000,9999-01-01
11524,M,Xiadong,Standera,41081,9999-01-01
11527,M,Alagu,Boyle,60212,9999-01-01
11528,M,Zito,Dolinsky,44026,9999-01-01
11537,M,DAIDA,Pehl,96023,9999-01-01
11554,M,Subhash,Taubenfeld,46065,9999-01-01
11555,M,Kotesh,Perfilyeva,40000,9999-01-01
11567,M,Teiji,Mitzlaff,86261,9999-01-01
11568,M,Martins,Fujisaki,54673,9999-01-01
11603,F,Herb,Swen,69180,9999-01-01
11607,F,Tomokazu,Foong,49584,9999-01-01
11615,F,Shem,Isaak,46591,9999-01-01
11624,M,Adil,Gammage,42001,9999-01-01
10150,F,Zhenbing,Perng,70122,9999-01-01
11628,M,Fan,Malinowski,43966,9999-01-01
11640,M,Valeri,Coorg,52520,9999-01-01
11647,M,Magy,Nitsche,40000,9999-01-01
11660,F,Gill,Stenning,65758,9999-01-01
10153,M,Heekeun,Majewski,54246,9999-01-01
10157,M,Nigel,Aloisi,48770,9999-01-01
11853,F,Zeljko,Kusakabe,61941,9999-01-01
11673,F,Henk,Felder,40000,9999-01-01
11676,F,Valeri,Ferriere,43310,9999-01-01
11681,F,Fumitake,Benzmuller,40000,9999-01-01
11684,F,Oksana,Gide,68753,9999-01-01
11696,M,Dante,Rothe,51633,9999-01-01
11857,F,Divier,Farrag,94805,9999-01-01
11864,F,Pradeep,Kriebel,52517,9999-01-01
11732,F,Sanjoy,Ranft,40000,9999-01-01
11735,M,Amalendu,Picci,40000,9999-01-01
11871,M,Nalini,Sommen,67424,9999-01-01
11746,F,Koichi,Marrakchi,55951,9999-01-01
11751,M,Jiafu,Emiris,40000,9999-01-01
11872,M,Cheong,Riexinger,43159,9999-01-01
11894,M,Mitchel,Validov,56198,9999-01-01
11764,F,Sanjay,Anick,64875,9999-01-01
11769,M,Chandrasekaran,Lampe,40000,9999-01-01
11772,F,Gaurav,Penz,61295,9999-01-01
11797,M,Chenxi,Thambidurai,88050,9999-01-01
11897,M,Cordelia,Setlzner,80049,9999-01-01
11810,M,Amabile,Bhattacharjee,41256,9999-01-01
11817,M,Niranjan,Markovitch,50638,9999-01-01
11906,F,Hideo,Boguraev,81324,9999-01-01
11832,M,Arto,Zlotek,40000,9999-01-01
11915,M,Miomir,Mawatari,58042,9999-01-01
11844,M,Shawna,Demeyer,78049,9999-01-01
11931,F,Gunilla,Chiodo,73369,9999-01-01
12036,M,Mads,Ratzlaff,67143,9999-01-01
12037,M,Arunas,Katzenelson,47805,9999-01-01
11933,M,Basil,Erman,56130,9999-01-01
12050,F,Yuchang,Tchuente,46704,9999-01-01
11949,M,Martijn,Harbusch,40000,9999-01-01
12062,M,Margareta,Worfolk,44199,9999-01-01
12069,M,Ayonca,Burnard,51928,9999-01-01
12070,M,Ger,Shokrollahi,50233,9999-01-01
12076,F,Karlis,Siprelle,75381,9999-01-01
12082,M,Xinan,Yamaashi,72118,9999-01-01
12089,M,Bilhanan,Socorro,46288,9999-01-01
11983,M,Jaana,Hedayat,40000,9999-01-01
12099,M,Nobuyoshi,Kuzuoka,104610,9999-01-01
